,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
47,Felis catus,Bos taurus,0.163059,0.0,25,6,24576,24576,41.29783220895761,41.42254341828584
48,Felis catus,Oryctolagus cuniculus,0.157098,0.0,25,6,24576,24576,41.29783220895761,42.28037946782452
49,Felis catus,Rattus norvegicus,0.138297,0.0,25,6,24576,24576,41.29783220895761,41.14000337454406
50,Felis catus,Cavia porcellus,0.123654,0.0,25,6,24576,24576,41.29783220895761,38.58365568505605
51,Canis lupus familiaris,Equus caballus,0.108857,0.0,25,6,24576,24576,40.749768610252154,40.82579448687693
52,Canis lupus familiaris,Bos taurus,0.157031,0.0,25,6,24576,24576,40.749768610252154,41.42254341828584
53,Canis lupus familiaris,Oryctolagus cuniculus,0.146569,0.0,25,6,24576,24576,40.749768610252154,42.28037946782452
54,Canis lupus familiaris,Rattus norvegicus,0.133275,0.0,25,6,24576,24576,40.749768610252154,41.14000337454406
55,Canis lupus familiaris,Cavia porcellus,0.11084,0.0,25,6,24576,24576,40.749768610252154,38.58365568505605
56,Equus caballus,Bos taurus,0.140749,0.0,25,6,24576,24576,40.82579448687693,41.42254341828584
57,Equus caballus,Oryctolagus cuniculus,0.130171,0.0,25,6,24576,24576,40.82579448687693,42.28037946782452
58,Equus caballus,Rattus norvegicus,0.106056,0.0,25,6,24576,24576,40.82579448687693,41.14000337454406
59,Equus caballus,Cavia porcellus,0.0811231,0.0,25,6,24576,24576,40.82579448687693,38.58365568505605
60,Bos taurus,Oryctolagus cuniculus,0.178066,0.0,25,6,24576,24576,41.42254341828584,42.28037946782452
61,Bos taurus,Rattus norvegicus,0.155816,0.0,25,6,24576,24576,41.42254341828584,41.14000337454406
62,Bos taurus,Cavia porcellus,0.139233,0.0,25,6,24576,24576,41.42254341828584,38.58365568505605
63,Oryctolagus cuniculus,Rattus norvegicus,0.148903,0.0,25,6,24576,24576,42.28037946782452,41.14000337454406
64,Oryctolagus cuniculus,Cavia porcellus,0.13237,0.0,25,6,24576,24576,42.28037946782452,38.58365568505605
65,Rattus norvegicus,Cavia porcellus,0.098745,0.0,25,6,24576,24576,41.14000337454406,38.58365568505605
66,Otolemur garnettii,Homo sapiens subsp. Denisova,0.174049,0.0,25,9,2359291,2359296,38.013368451217595,38.559771286613994
67,Otolemur garnettii,Tupaia belangeri,0.198282,0.0,25,9,2359291,2359296,38.013368451217595,39.90564559866216
68,Otolemur garnettii,Sorex araneus,0.200567,0.0,25,9,2359291,2359296,38.013368451217595,38.310947587616624
69,Otolemur garnettii,Erinaceus europaeus,0.227356,0.0,25,9,2359291,2359281,38.013368451217595,35.23760603795942
70,Otolemur garnettii,Felis catus,0.174287,0.0,25,9,2359291,2359296,38.013368451217595,41.29783220895761
71,Otolemur garnettii,Canis lupus familiaris,0.17385,0.0,25,9,2359291,2359296,38.013368451217595,40.749768610252154
72,Otolemur garnettii,Equus caballus,0.163588,0.0,25,9,2359291,2359296,38.013368451217595,40.82579448687693
73,Otolemur garnettii,Bos taurus,0.22166,0.0,25,9,2359291,2359296,38.013368451217595,41.42254341828584
74,Otolemur garnettii,Oryctolagus cuniculus,0.208206,0.0,25,9,2359291,2359296,38.013368451217595,42.28037946782452
75,Otolemur garnettii,Rattus norvegicus,0.194665,0.0,25,9,2359291,2359296,38.013368451217595,41.14000337454406
76,Otolemur garnettii,Cavia porcellus,0.172405,0.0,25,9,2359291,2359294,38.013368451217595,38.58365568505605
77,Homo sapiens subsp. Denisova,Tupaia belangeri,0.222481,0.0,25,9,2359296,2359296,38.559771286613994,39.90564559866216
78,Homo sapiens subsp. Denisova,Sorex araneus,0.226582,0.0,25,9,2359296,2359296,38.559771286613994,38.310947587616624
79,Homo sapiens subsp. Denisova,Erinaceus europaeus,0.25024,0.0,25,9,2359296,2359281,38.559771286613994,35.23760603795942
80,Homo sapiens subsp. Denisova,Felis catus,0.201342,0.0,25,9,2359296,2359296,38.559771286613994,41.29783220895761
81,Homo sapiens subsp. Denisova,Canis lupus familiaris,0.200168,0.0,25,9,2359296,2359296,38.559771286613994,40.749768610252154
82,Homo sapiens subsp. Denisova,Equus caballus,0.191365,0.0,25,9,2359296,2359296,38.559771286613994,40.82579448687693
83,Homo sapiens subsp. Denisova,Bos taurus,0.24432,0.0,25,9,2359296,2359296,38.559771286613994,41.42254341828584
84,Homo sapiens subsp. Denisova,Oryctolagus cuniculus,0.232304,0.0,25,9,2359296,2359296,38.559771286613994,42.28037946782452
85,Homo sapiens subsp. Denisova,Rattus norvegicus,0.220698,0.0,25,9,2359296,2359296,38.559771286613994,41.14000337454406
86,Homo sapiens subsp. Denisova,Cavia porcellus,0.198252,0.0,25,9,2359296,2359294,38.559771286613994,38.58365568505605
87,Tupaia belangeri,Sorex araneus,0.220392,0.0,25,9,2359296,2359296,39.90564559866216,38.310947587616624
88,Tupaia belangeri,Erinaceus europaeus,0.245207,0.0,25,9,2359296,2359281,39.90564559866216,35.23760603795942
89,Tupaia belangeri,Felis catus,0.19808,0.0,25,9,2359296,2359296,39.90564559866216,41.29783220895761
90,Tupaia belangeri,Canis lupus familiaris,0.197329,0.0,25,9,2359296,2359296,39.90564559866216,40.749768610252154
91,Tupaia belangeri,Equus caballus,0.189932,0.0,25,9,2359296,2359296,39.90564559866216,40.82579448687693
92,Tupaia belangeri,Bos taurus,0.240905,0.0,25,9,2359296,2359296,39.90564559866216,41.42254341828584
93,Tupaia belangeri,Oryctolagus cuniculus,0.226132,0.0,25,9,2359296,2359296,39.90564559866216,42.28037946782452
94,Tupaia belangeri,Rattus norvegicus,0.218293,0.0,25,9,2359296,2359296,39.90564559866216,41.14000337454406
95,Tupaia belangeri,Cavia porcellus,0.202445,0.0,25,9,2359296,2359294,39.90564559866216,38.58365568505605
96,Sorex araneus,Erinaceus europaeus,0.243154,0.0,25,9,2359296,2359281,38.310947587616624,35.23760603795942
97,Sorex araneus,Felis catus,0.199276,0.0,25,9,2359296,2359296,38.310947587616624,41.29783220895761
98,Sorex araneus,Canis lupus familiaris,0.196248,0.0,25,9,2359296,2359296,38.310947587616624,40.749768610252154
99,Sorex araneus,Equus caballus,0.1932,0.0,25,9,2359296,2359296,38.310947587616624,40.82579448687693
100,Sorex araneus,Bos taurus,0.240138,0.0,25,9,2359296,2359296,38.310947587616624,41.42254341828584
101,Sorex araneus,Oryctolagus cuniculus,0.228781,0.0,25,9,2359296,2359296,38.310947587616624,42.28037946782452
102,Sorex araneus,Rattus norvegicus,0.221149,0.0,25,9,2359296,2359296,38.310947587616624,41.14000337454406
103,Sorex araneus,Cavia porcellus,0.20257,0.0,25,9,2359296,2359294,38.310947587616624,38.58365568505605
104,Erinaceus europaeus,Felis catus,0.226798,0.0,25,9,2359281,2359296,35.23760603795942,41.29783220895761
105,Erinaceus europaeus,Canis lupus familiaris,0.225532,0.0,25,9,2359281,2359296,35.23760603795942,40.749768610252154
106,Erinaceus europaeus,Equus caballus,0.222675,0.0,25,9,2359281,2359296,35.23760603795942,40.82579448687693
107,Erinaceus europaeus,Bos taurus,0.265019,0.0,25,9,2359281,2359296,35.23760603795942,41.42254341828584
108,Erinaceus europaeus,Oryctolagus cuniculus,0.252359,0.0,25,9,2359281,2359296,35.23760603795942,42.28037946782452
109,Erinaceus europaeus,Rattus norvegicus,0.244075,0.0,25,9,2359281,2359296,35.23760603795942,41.14000337454406
110,Erinaceus europaeus,Cavia porcellus,0.230278,0.0,25,9,2359281,2359294,35.23760603795942,38.58365568505605
111,Felis catus,Canis lupus familiaris,0.139755,0.0,25,9,2359296,2359296,41.29783220895761,40.749768610252154
112,Felis catus,Equus caballus,0.159284,0.0,25,9,2359296,2359296,41.29783220895761,40.82579448687693
113,Felis catus,Bos taurus,0.218387,0.0,25,9,2359296,2359296,41.29783220895761,41.42254341828584
114,Felis catus,Oryctolagus cuniculus,0.207649,0.0,25,9,2359296,2359296,41.29783220895761,42.28037946782452
115,Felis catus,Rattus norvegicus,0.199235,0.0,25,9,2359296,2359296,41.29783220895761,41.14000337454406
116,Felis catus,Cavia porcellus,0.179889,0.0,25,9,2359296,2359294,41.29783220895761,38.58365568505605
117,Canis lupus familiaris,Equus caballus,0.15769,0.0,25,9,2359296,2359296,40.749768610252154,40.82579448687693
118,Canis lupus familiaris,Bos taurus,0.217658,0.0,25,9,2359296,2359296,40.749768610252154,41.42254341828584
119,Canis lupus familiaris,Oryctolagus cuniculus,0.205281,0.0,25,9,2359296,2359296,40.749768610252154,42.28037946782452
120,Canis lupus familiaris,Rattus norvegicus,0.199617,0.0,25,9,2359296,2359296,40.749768610252154,41.14000337454406
121,Canis lupus familiaris,Cavia porcellus,0.177259,0.0,25,9,2359296,2359294,40.749768610252154,38.58365568505605
122,Equus caballus,Bos taurus,0.211585,0.0,25,9,2359296,2359296,40.82579448687693,41.42254341828584
123,Equus caballus,Oryctolagus cuniculus,0.200297,0.0,25,9,2359296,2359296,40.82579448687693,42.28037946782452
124,Equus caballus,Rattus norvegicus,0.191713,0.0,25,9,2359296,2359296,40.82579448687693,41.14000337454406
125,Equus caballus,Cavia porcellus,0.170211,0.0,25,9,2359296,2359294,40.82579448687693,38.58365568505605
126,Bos taurus,Oryctolagus cuniculus,0.250277,0.0,25,9,2359296,2359296,41.42254341828584,42.28037946782452
127,Bos taurus,Rattus norvegicus,0.240394,0.0,25,9,2359296,2359296,41.42254341828584,41.14000337454406
128,Bos taurus,Cavia porcellus,0.224764,0.0,25,9,2359296,2359294,41.42254341828584,38.58365568505605
129,Oryctolagus cuniculus,Rattus norvegicus,0.230261,0.0,25,9,2359296,2359296,42.28037946782452,41.14000337454406
130,Oryctolagus cuniculus,Cavia porcellus,0.211881,0.0,25,9,2359296,2359294,42.28037946782452,38.58365568505605
131,Rattus norvegicus,Cavia porcellus,0.19616,0.0,25,9,2359296,2359294,41.14000337454406,38.58365568505605
