Shimwellia blattae
Pluralibacter gergoviae
Enterobacter hormaechei
Klebsiella oxytoca
Tatumella citrea
Pantoea agglomerans
Pantoea ananatis
Erwinia amylovora
Pantoea rwandensis
Citrobacter freundii
Cedecea neteri
Providencia stuartii
Morganella morganii subsp. morganii
Morganella morganii subsp. sibonii
Gilliamella apicola
Frischella perrara
Arsenophonus
Photorhabdus thracensis
Xenorhabdus nematophila
Xenorhabdus doucetiae
Xenorhabdus bovienii
Xenorhabdus hominickii
Proteus mirabilis
Edwardsiella tarda
Serratia rubidaea
Rahnella aquatilis
Yersinia ruckeri
Sodalis glossinidius
Dickeya solani
Pragia fontium
Pectobacterium carotovorum
Serratia marcescens
Obesumbacterium proteus
Serratia fonticola
Serratia liquefaciens
Plesiomonas shigelloides
Glaesserella parasuis
Aggregatibacter actinomycetemcomitans
Bibersteinia trehalosi
Mannheimia haemolytica
Actinobacillus suis
Gallibacterium anatis
Histophilus somni
Actinobacillus succinogenes
Pasteurella multocida subsp. gallicida
Pasteurella multocida subsp. septica
Pasteurella multocida subsp. multocida
[Haemophilus] ducreyi
Grimontia hollisae
Photobacterium damselae subsp. piscicida
Photobacterium damselae subsp. damselae
Photobacterium gaetbulicola
Vibrio gazogenes
Vibrio vulnificus
Vibrio fluvialis
Vibrio tubiashii
Vibrio anguillarum
Vibrio scophthalmi
Vibrio atlanticus
Vibrio alginolyticus
Vibrio campbellii
Vibrio coralliilyticus
Vibrio nigripulchritudo
Vibrio breoganii
Aliivibrio salmonicida
Aliivibrio wodanis
Photobacterium profundum
Shewanella amazonensis
Shewanella baltica
Shewanella frigidimarina
Shewanella denitrificans
Shewanella japonica
Shewanella loihica
Shewanella violacea
Shewanella piezotolerans
Shewanella sediminis
Shewanella pealeana
Shewanella psychrophila
Moritella viscosa
Ferrimonas balearica
Tolumonas auensis
Aeromonas schubertii
Oceanisphaera profunda
Pseudoalteromonas espejiana
Pseudoalteromonas atlantica
Pseudoalteromonas translucida
Pseudoalteromonas phenolica
Pseudoalteromonas piscicida
Pseudoalteromonas rubra
Pseudoalteromonas luteoviolacea
Pseudoalteromonas spongiae
Psychromonas ingrahamii
Alteromonas australica
Alteromonas stellipolaris
Alteromonas macleodii
Glaciecola nitratireducens
Paraglaciecola psychrophila
Thalassotalea ganghwensis
Colwellia psychrerythraea
Agarivorans gilvus
Idiomarina piscisalsi
Idiomarina loihiensis
Francisella halioticida
Francisella philomiragia
Allofrancisella guangzhouensis
Dichelobacter nodosus
Tatlockia micdadei
Legionella oakridgensis
Legionella fallonii
Legionella longbeachae
Coxiella burnetii
Halorhodospira halophila
Alkalilimnicola ehrlichii
Thioalkalivibrio sulfidiphilus
Thioalkalivibrio versutus
Thioalkalivibrio nitratireducens
Thioalkalivibrio paradoxus
Methylococcus capsulatus
Methylotuvimicrobium alcaliphilum
Methylomonas methanica
Thioflavicoccus mobilis
Thiocystis violascens
Allochromatium vinosum
Marichromatium purpuratum
Nitrosococcus oceani
Steroidobacter denitrificans
Kangiella sediminilitoris
Kangiella geojedonensis
Kangiella koreensis
Hydrogenovibrio crunogenus
Thiomicrospira aerophila
Thiomicrospira cyclica
Piscirickettsia salmonis
Methylophaga nitratireducenticrescens
Methylophaga frappieri
Xanthomonas citri
Xanthomonas oryzae
Xanthomonas fragariae
Xylella fastidiosa subsp. fastidiosa
Xylella fastidiosa subsp. multiplex
Xanthomonas translucens
Xanthomonas sacchari
Pseudoxanthomonas suwonensis
Pseudoxanthomonas spadix
Stenotrophomonas acidaminiphila
Stenotrophomonas nitritireducens
Stenotrophomonas maltophilia
Stenotrophomonas rhizophila
Lysobacter antibioticus
Lysobacter capsici
Dokdonella koreensis
Rhodanobacter denitrificans
Frateuria aurantia
Dyella thiooxydans
Thiobacillus denitrificans
Methylotenera mobilis
Methylotenera versatilis
Methylovorus glucosotrophus
Sulfuricella denitrificans
Nitrosomonas europaea
Nitrosomonas eutropha
Nitrosospira multiformis
Dechloromonas agitata
Azospira oryzae
Ferriphaselus amnicola
Azoarcus olearius
Aromatoleum tolulyticum
Thauera chlorobenzoica
Thauera humireducens
Sulfuritalea hydrogenivorans
Taylorella equigenitalis
Taylorella asinigenitalis
Advenella mimigardefordensis
Paenalcaligenes hominis
Alcaligenes faecalis subsp. parafaecalis
Alcaligenes faecalis subsp. phenolicus
Alcaligenes faecalis subsp. faecalis
Castellaniella defragrans
Bordetella avium
Bordetella holmesii
Bordetella petrii
Bordetella hinzii
Bordetella trematum
Achromobacter xylosoxidans
Basilea psittacipulmonis
Rubrivivax gelatinosus
Methylibium petroleiphilum
Thiomonas intermedia
Paraburkholderia xenovorans
Paraburkholderia sprentiae
Paraburkholderia phymatum
Burkholderia cepacia
Burkholderia gladioli
Burkholderia ubonensis
Mycetohabitans rhizoxinica
Pandoraea thiooxydans
Pandoraea pnomenusa
Cupriavidus basilensis
Cupriavidus necator
Cupriavidus gilardii
Cupriavidus metallidurans
Ralstonia mannitolilytica
Ralstonia solanacearum
Ralstonia pickettii
Polynucleobacter asymbioticus
Polynucleobacter necessarius
Roseateles depolymerans
Verminephrobacter eiseniae
Alicycliphilus denitrificans
