Alosa sapidissima
Clupea harengus
Coilia nasus
Denticeps clupeoides
Megalops atlanticus
Megalops cyprinoides
Anguilla rostrata
Anguilla anguilla
Synaphobranchus kaupii
Albula vulpes
Heterotis niloticus
Scleropages formosus
Acipenser ruthenus
Polyodon spathula
Polypterus senegalus
Erpetoichthys calabaricus
Microcaecilia unicolor
Geotrypetes seraphini
Rhinatrema bivittatum
Ambystoma mexicanum
Leptobrachium leishanense
Leptobrachium ailaonicum
Bufo bufo
Bufo gargarizans
Engystomops pustulosus
Eleutherodactylus coqui
Pyxicephalus adspersus
Rana temporaria
Hymenochirus boettgeri
Xenopus laevis
Xenopus tropicalis
Thylacinus cynocephalus
Antechinus flavipes
Sarcophilus harrisii
Dasyurus viverrinus
Trichosurus vulpecula
Dromiciops gliroides
Monodelphis domestica
Gracilinanus agilis
Suricata suricatta
Lynx canadensis
Prionailurus bengalensis
Prionailurus viverrinus
Felis catus
Felis chaus
Leopardus geoffroyi
Panthera tigris altaica
Panthera tigris tigris
Panthera tigris corbetti
Panthera tigris sumatrae
Panthera tigris amoyensis
Panthera leo
Vulpes lagopus
Canis lupus arctos
Canis lupus familiaris
Canis lupus lupus
Canis lupus campestris
Canis lupus laniger
Lutra lutra
Mustela nigripes
Mustela erminea
Neogale vison
Meles meles
Zalophus californianus
Neomonachus schauinslandi
Ailuropoda melanoleuca
Equus caballus
Equus asinus
Equus quagga
Diceros bicornis
Camelus dromedarius
Camelus ferus
Physeter catodon
Phocoena sinus
Tursiops truncatus
Balaenoptera musculus
Hippopotamus amphibius
Hexaprotodon liberiensis
Bos gaurus
Bos grunniens
Bos indicus
Bubalus bubalis
Capra aegagrus
Capra hircus
Ovis orientalis
Ovis aries
Budorcas taxicolor
Muntiacus crinifrons
Muntiacus muntjak
Muntiacus reevesi
Cervus canadensis
Cervus hanglu
Cervus elaphus
Hydropotes inermis
Odocoileus hemionus
Giraffa tippelskirchi
Phacochoerus africanus
Sus scrofa
Rhinolophus ferrumequinum
Phyllostomus discolor
Pipistrellus pipistrellus
Sylvilagus bachmani
Oryctolagus cuniculus
Lepus timidus
Ochotona princeps
Ictidomys tridecemlineatus
Sciurus carolinensis
Sciurus vulgaris
Peromyscus leucopus
Peromyscus maniculatus
Peromyscus polionotus
Onychomys torridus
Microtus ochrogaster
Arvicola amphibius
Rattus norvegicus
Mus musculus gentilulus
Mus musculus molossinus
Mus musculus musculus
Mus musculus castaneus
Mus musculus domesticus
Mus caroli
Mus pahari
Mastomys coucha
Arvicanthis niloticus
Acomys dimidiatus
Acomys percivali
Acomys russatus
Acomys kempi
Jaculus jaculus
Perognathus longimembris
Microcebus murinus
Lemur catta
Callithrix jacchus
Saguinus midas
Hylobates pileatus
Nomascus leucogenys
Gorilla gorilla
Homo sapiens neanderthalensis
Homo sapiens subsp. Denisova
Pan paniscus
Pan troglodytes troglodytes
Pan troglodytes schweinfurthii
Pan troglodytes ellioti
Pan troglodytes verus
Pongo abelii
Papio anubis
Theropithecus gelada
Macaca mulatta vestita
Macaca mulatta brevicaudus
Macaca mulatta lasiotus
Macaca fascicularis aureus
Macaca fascicularis fascicularis
Macaca fascicularis philippinensis
Nasalis larvatus
Rhinopithecus roxellana
Colobus guereza matschiei
Colobus guereza occidentalis
Choloepus didactylus
Tachyglossus aculeatus
Ornithorhynchus anatinus
Sphaerodactylus townsendi
Hydrophis cyanocinctus
Hydrophis curtus
Naja naja
Thamnophis elegans
Crotalus viridis
Shinisaurus crocodilurus
Anolis carolinensis
Phrynosoma platyrhinos
Sceloporus undulatus
Sceloporus tristichus
Podarcis muralis
Lacerta agilis
Zootoca vivipara carniolica
Zootoca vivipara louislantzi
Hemiprocne
Apus apus
Archilochus colubris
Calypte anna
Nyctibius grandis
Caprimulgus europaeus
Theristicus caerulescens
Ciconia ciconia
Porphyrio hochstetteri
Alca torda
Sterna hirundo
Pluvialis apricaria
Streptopelia turtur
Phoenicopterus
Colaptes auratus
Pogoniulus
Bucorvus abyssinicus
Trogon surrucura
Accipiter gentilis
Aquila chrysaetos
Gymnogyps californianus
Melopsittacus undulatus
Amazona aestiva
Myiopsitta monachus
Strigops habroptila
Rhegmatorhina hoffmannsi
Sylvia borin
Sylvia atricapilla
Acrocephalus scirpaceus
Prinia bairdii obscura
Prinia bairdii bairdii
Hirundo rustica
Parus major
Poecile atricapillus
Certhia brachydactyla
Catharus ustulatus
Ficedula albicollis
Erithacus rubecula
Diglossa brunneiventris
Corvus moneduloides
Corvus cornix
Taeniopygia guttata
Lonchura striata
Corvus hawaiiensis
Camarhynchus parvulus
Coloeus monedula
Motacilla alba
Geothlypis trichas
Setophaga coronata
Molothrus ater
Agelaius phoeniceus
Fringilla coelebs
Passer domesticus
Ptiloprora plumbea
Malurus cyaneus
Chiroxiphia lanceolata
Falco rusticolus
Falco naumanni
Anas platyrhynchos
Aythya fuligula
Cygnus olor
Oxyura jamaicensis
Cairina moschata
Coturnix japonica
Lagopus muta
Meleagris gallopavo
Gallus gallus
Numida meleagris
Rafetus swinhoei
Trachemys dorbigni
Chrysemys picta
Mauremys mutica
Gopherus agassizii
Chelonia mydas
Dermochelys coriacea
Protopterus
Neoceratodus forsteri
Petromyzon marinus
Lethenteron reissneri
Entosphenus tridentatus
Ciona savignyi
Diplosoma listerianum
Carcinoscorpius rotundicauda
Tachypleus gigas
Tachypleus tridentatus
Dermacentor silvarum
Rhipicephalus microplus
Rhipicephalus sanguineus
Hyalomma asiaticum
Haemaphysalis longicornis
Falculifer rostratus
Argiope
Meta menardi
Dolomedes
Tomocerus qinae
Yoshiicerus persimilis
Sinella curviseta
Leuctra
Protonemura meyeri
Schistocerca gregaria
Eragenia abdominalis
Monomorium pharaonis
Solenopsis invicta
Tetramorium caespitum
Cataglyphis
Formica moki
Ooceraea biroi
Oxybelus abdominalis
